City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
259,prymors'k,46.7348,36.3443,5.48,77,100,1.88,UA,1731621472
260,zeerust,-25.5369,26.0751,18.74,69,80,2.9,ZA,1731621473
261,hobyo,5.3505,48.5268,26.19,75,6,6.58,SO,1731621474
262,kirovskiy,45.0917,133.5136,3.46,93,73,1.83,RU,1731621475
263,lalibela,12.0333,39.0333,13.33,64,1,3.67,ET,1731621476
264,mugumu,-1.85,34.7,16.7,90,96,1.96,TZ,1731621477
265,buzdyak,54.5833,54.55,-1.45,91,100,4.58,RU,1731621479
266,formosa do rio preto,-11.0483,-45.1931,21.24,98,98,3.45,BR,1731621480
267,amga,60.8953,131.9608,-20.31,98,100,1.7,RU,1731621481
268,praia da vitoria,38.7333,-27.0667,17.14,77,75,7.54,PT,1731621482
269,la'ie,21.6477,-157.9253,25.98,82,22,4.02,US,1731621483
270,lauro de freitas,-12.8944,-38.3272,27.01,69,40,4.63,BR,1731621187
271,nalut,30.3333,10.85,17.19,40,0,3.47,LY,1731621485
272,puerto piray,-26.4678,-54.7148,24.78,37,29,0.73,AR,1731621487
273,eyl,7.9803,49.8164,24.61,62,51,6.58,SO,1731621488
274,nevel'sk,46.6733,141.8633,5.49,91,100,2.44,RU,1731621489
275,bredasdorp,-34.5322,20.0403,14.72,85,85,2.44,ZA,1731621490
276,san andres,12.5847,-81.7006,30.01,74,40,4.12,CO,1731621491
277,carira,-10.3608,-37.7011,23.26,62,13,7.82,BR,1731621492
278,tazacorte,28.629,-17.9293,20.54,85,75,3.09,ES,1731621493
279,grand falls-windsor,48.9332,-55.6649,4.17,94,100,3.58,CA,1731621494
280,frenda,35.0654,1.0495,13.56,55,50,4.22,DZ,1731621497
281,riberalta,-10.9833,-66.1,31.11,62,40,0.0,BO,1731621498
282,conduaga,8.862,117.4893,25.56,89,100,0.98,PH,1731621499
283,palu,-0.8917,119.8707,23.81,95,62,1.8,ID,1731621442
284,kill devil hills,36.0307,-75.676,16.1,73,100,4.63,US,1731621342
285,portland,45.5234,-122.6762,12.67,83,75,5.14,US,1731621300
286,ubari,26.5921,12.7805,19.2,26,13,2.23,LY,1731621504
287,salinopolis,-0.6136,-47.3561,27.21,77,47,6.44,BR,1731621505
288,prince rupert,54.3161,-130.3201,7.83,80,75,10.8,CA,1731621506
289,mejit,10.2753,170.8646,28.42,73,55,5.68,MH,1731621507
290,floro,61.5996,5.0328,6.98,100,100,5.14,NO,1731621509
291,pizarro,4.9533,-77.366,25.69,78,82,3.1,CO,1731621511
292,kone,-21.0595,164.8658,31.43,47,30,2.3,NC,1731621512
293,taichung,24.1469,120.6839,24.7,92,100,0.45,TW,1731621419
294,augusto correa,-1.0217,-46.635,26.39,75,48,3.05,BR,1731621514
295,gamboma,-1.8764,15.8644,23.03,91,100,1.04,CG,1731621515
296,'alaqahdari dishu,30.4374,63.313,12.27,69,65,2.3,AF,1731621516
297,camilla,31.2313,-84.2105,21.27,93,100,2.15,US,1731621444
298,tonghae,37.5439,129.1069,14.43,74,95,1.85,KR,1731621519
299,bathurst,-33.4166,149.5806,17.76,77,51,4.45,AU,1731621520
300,richards bay,-28.783,32.0377,19.21,73,100,1.02,ZA,1731621235
301,zaozersk,69.4005,32.4476,0.76,78,98,13.42,RU,1731621522
302,mopti,14.6667,-4.0,29.9,20,63,3.79,ML,1731621523
303,mooloolaba,-26.6833,153.1167,25.59,96,70,0.45,AU,1731621524
304,mullovka,54.2,49.4,-0.02,74,100,4.93,RU,1731621525
305,lockwood,45.8191,-108.4149,15.79,24,20,7.2,US,1731621526
306,miyaly,48.8844,53.7836,1.96,69,98,3.01,KZ,1731621528
307,yeed,4.55,43.0333,27.08,49,100,3.46,SO,1731621529
308,bardsir,29.9227,56.5743,8.07,68,60,2.16,IR,1731621530
309,inarajan village,13.2736,144.7484,29.11,88,91,5.45,GU,1731621531
310,kavarna,43.4333,28.3333,6.99,99,100,4.53,BG,1731621532
311,hithadhoo,-0.6,73.0833,28.28,76,100,6.46,MV,1731621533
312,malango,-2.9627,119.9001,18.88,98,74,1.1,ID,1731621534
313,lompoc,34.6391,-120.4579,16.96,69,64,4.47,US,1731621535
314,buala,-8.145,159.5921,28.7,71,46,1.54,SB,1731621537
315,vanimo,-2.6741,141.3028,25.28,91,98,3.43,PG,1731621538
316,argenton-sur-creuse,46.59,1.5198,5.28,96,0,2.76,FR,1731621539
317,vadso,70.0744,29.7487,3.09,75,40,18.01,NO,1731621540
318,usinsk,65.9939,57.5281,0.31,99,100,6.64,RU,1731621541
319,iquique,-20.2208,-70.1431,18.13,84,43,1.0,CL,1731621542
320,st. john's,47.5649,-52.7093,11.75,99,100,7.72,CA,1731621371
321,cedral,23.8,-100.7333,23.59,36,30,3.74,MX,1731621548
322,cidreira,-30.1811,-50.2056,20.67,67,1,6.03,BR,1731621549
323,labasa,-16.4167,179.3833,29.05,65,22,3.78,FJ,1731621550
324,sirte,31.2089,16.5887,21.26,72,0,4.27,LY,1731621551
325,codrington,-38.2667,141.9667,13.15,64,82,3.68,AU,1731621553
326,luanda,-8.8368,13.2343,25.0,88,75,1.54,AO,1731621510
327,dunda,-8.1167,34.25,22.17,60,58,1.59,TZ,1731621555
328,cabinda,-5.55,12.2,24.08,94,100,3.09,AO,1731621556
329,selfoss,63.9331,-20.9971,3.36,63,100,11.89,IS,1731621557
330,saudarkrokur,65.7461,-19.6394,3.09,76,100,13.32,IS,1731621558
331,al jawf,29.5,38.75,17.74,49,76,4.03,SA,1731621559
332,lupane,-18.9315,27.807,17.58,76,73,4.28,ZW,1731621560
333,igrim,63.1906,64.4162,-3.87,92,100,3.61,RU,1731621562
334,barah,13.7,30.3667,25.84,28,1,6.27,SD,1731621563
335,acapulco de juarez,16.8634,-99.8901,26.83,71,51,2.78,MX,1731621564
336,san nicolas,18.1725,120.5953,25.95,94,100,5.14,PH,1731621565
337,isoka,-10.1606,32.6335,20.03,64,18,2.03,ZM,1731621566
338,saipan,15.1355,145.701,29.39,85,75,6.17,MP,1731621569
339,puerto cabezas,14.0351,-83.3888,26.98,89,40,2.06,NI,1731621570
340,monte maiz,-33.2046,-62.6008,30.84,30,28,2.39,AR,1731621571
341,selkirk,50.1436,-96.8845,5.1,92,100,0.89,CA,1731621527
342,lamu,-2.2717,40.902,26.98,82,100,4.45,KE,1731621573
343,crane,31.3974,-102.3501,22.54,22,0,6.78,US,1731621574
344,aykhal,66.0,111.5,-25.89,100,100,3.59,RU,1731621576
345,callao,-12.0667,-77.15,22.16,64,0,5.14,PE,1731621577
346,vila franca do campo,37.7167,-25.4333,18.27,99,47,6.81,PT,1731621578
347,port alfred,-33.5906,26.891,15.1,88,68,5.52,ZA,1731621579
348,bandarbeyla,9.4942,50.8122,25.32,61,99,7.08,SO,1731621580
349,nicoya,10.1483,-85.452,23.57,96,100,1.35,CR,1731621162
350,chabahar,25.2919,60.643,26.32,64,2,1.54,IR,1731621582
351,inari,68.906,27.0288,0.54,68,51,6.65,FI,1731621583
352,santa rosa del sara,-17.1092,-63.5989,29.41,42,26,1.93,BO,1731621585
353,la sarre,48.8002,-79.1996,0.46,59,100,2.75,CA,1731621586
354,asmara,15.3333,38.9333,11.76,90,65,2.26,ER,1731621587
355,makoua,0.0069,15.6333,23.41,92,100,1.52,CG,1731621588
356,general pico,-35.6566,-63.7568,32.92,23,42,2.75,AR,1731621589
357,derinkuyu,38.3751,34.7342,6.86,65,68,2.25,TR,1731621590
358,lucapa,-8.4192,20.7447,18.51,97,86,1.75,AO,1731621592
359,simmerath,50.6,6.3,6.07,97,100,1.03,DE,1731621593
